Zeitstempel;Gender;Age;Visual impairment;Background;Portable devices (Phone, tablet) experience;Augmented Reality (AR) experience;I think that I would like to use this App frequently;I found this App unnecessarily complex;I thought this App was easy to use;I think that I would need assistance to be able to use this App;I found the various functions in this App were well integrated;I thought there was too much inconsistency in this App;I would imagine that most people would learn to use this App very quickly;I found this App very cumbersome/awkward to use;I felt very confident using this App;I needed to learn a lot of things before I could get going with this App;Full Name (Optional);Please provide any comment about this App (Optional)
2019/09/23 2:17:21 PM OEZ;Female;24;Normal vision;Computer Science;6 - 10 years;< 2 years;5;1;5;4;5;1;5;1;5;4;;
2019/09/23 2:53:59 PM OEZ;Male;23;Corrected vision (you're using glasses or contact lenses);Computer Science;Over 10 years;< 2 years;4;2;5;4;4;1;5;1;4;1;;
2019/09/25 3:40:39 PM OEZ;Female;26;Normal vision;Computer Science;Over 10 years;< 2 years;4;1;4;1;4;1;5;1;4;1;;
2019/09/25 3:42:55 PM OEZ;Female;32;Normal vision;Other;Over 10 years;< 2 years;3;2;5;2;4;1;5;2;4;2;;
2019/09/25 3:45:53 PM OEZ;Female;25;Normal vision;Other;6 - 10 years;< 2 years;2;1;5;4;4;1;5;1;5;1;;
2019/09/25 3:49:45 PM OEZ;Male;26;Normal vision;Computer Science;Over 10 years;< 2 years;5;2;3;4;4;2;5;1;4;2;;
2019/09/25 3:54:06 PM OEZ;Female;24;Corrected vision (you're using glasses or contact lenses);Other;6 - 10 years;0;1;1;5;2;5;1;4;3;4;5;;
2019/09/25 3:55:54 PM OEZ;Male;28;Normal vision;Medical;Over 10 years;< 2 years;5;2;5;2;4;2;4;1;3;2;;
2019/09/25 4:02:30 PM OEZ;Male;27;Normal vision;Other;Over 10 years;0;4;3;5;1;3;2;5;2;4;1;;
2019/09/25 4:08:03 PM OEZ;Male;27;Normal vision;Other;4 - 6 years;< 2 years;4;2;1;2;4;2;5;2;4;1;;
2019/09/25 6:43:46 PM OEZ;Male;25;Normal vision;Other;Over 10 years;< 2 years;3;4;2;3;4;2;2;4;2;3;;I needed assistance before I could use the app. But only once.
2019/09/25 6:47:05 PM OEZ;Male;25;Normal vision;Other;Over 10 years;0;4;3;3;2;4;3;5;3;5;3;;
2019/09/25 6:50:10 PM OEZ;Female;25;Corrected vision (you're using glasses or contact lenses);Other;6 - 10 years;< 2 years;3;1;5;2;5;1;5;1;4;2;;
2019/09/25 6:55:14 PM OEZ;Male;28;Normal vision;Medical;4 - 6 years;< 2 years;4;1;5;2;4;2;4;2;4;2;;
2019/10/09 11:49:29 AM OEZ;Male;26;Normal vision;Computer Science;4 - 6 years;< 2 years;4;2;4;1;3;1;5;2;4;1;;
2019/10/09 12:00:41 PM OEZ;Male;26;Normal vision;Computer Science;2 - 4 years;< 2 years;5;1;4;1;5;1;5;1;5;1;;I found the app very intuitive to use. There are many visualization setting but they are well integrated and easy to find.
2019/10/09 12:10:15 PM OEZ;Male;33;Normal vision;Computer Science;6 - 10 years;< 2 years;3;1;5;1;4;1;5;2;5;1;;
2019/10/09 12:13:52 PM OEZ;Female;27;Normal vision;Computer Science;Over 10 years;< 2 years;3;1;4;2;4;1;4;1;4;1;;
2019/10/09 12:24:05 PM OEZ;Female;41;Normal vision;Other;2 - 4 years;0;4;3;3;3;4;3;3;4;3;3;;
2019/10/09 12:40:09 PM OEZ;Male;23;Normal vision;Computer Science;6 - 10 years;< 2 years;4;1;5;1;3;1;5;3;5;1;;
